"Participant ID","as"
"Gender","Female"
"Age",""
"Radius","40","190","214","143","33","32","161","109","69","175","57","73","104","78","118","142","137","194","131","208","181","100","146","85","56","97","117","64","136","78","82","56","58","198","34","42","33","118","172","74","157","179","52","149","71","186","52","63","194","152","82","138","153","28","88","125","78","111","32","20","132","158","122","136","120","94","116","138","31","153","86","148","60","79","219","40","156","183","61","176","105","213","95","95","143","51","67","151","29","90","60","197","207","133","101","100","143","126","134","82","142","174","23","155","219","134","112","53","25","217","201","211","20","198","212","52","25","149","147","63","84","94","181","57","58","204","112","24","82","46","78","23","144","86","191","201","106","159","90","50","140","45","30","45","178","45","49","54","175","154","184","189","106","155","92","216","165","148","152","149","49","202","77","51","172","29","47","144","93","68","149","72","141","76","148","183","126","77","148","126","99","24","196","200","149","32","137","154","189","76","40","122","188","64","186","64","23","191","68","79","102","102","29","45","161","82","117","138","92","172","63","80","137","83","186","161","102","44","163","125","185","190","202","186","58","185","79","22","135","151","25","86","109","30","104","37","182","127","45","91","137","158","148","53","193","54","111","43","49","157","175","59","180","77","69","44","72","156","130","43","51","132","205","62","150","163","70","110","168","171","189","121","198","199","112","156","83","75","138","113","143","138","90","54","188","201","192","41","145","218","120","102","23","63","153","191","89","139","207","194","158","215","115","40","211","89","46","206","90","193","156","39","156","166","190","133","173","119","38","172","30","59","149","94","40","144","130","37","194","114","218","207","180","29","155","207","44","21","210","194","121","186","147","75","45","77","30","72","133","191","95","135","195","38","183","56","35","75","184","204","55","184","181","202","69","138","161","171","197","117","64","24","98","187","35","123","82","46","67","55","124","27","76","26","176","62","68","209","68","150","220","207","28","48","175","50","206","89","181","36","89","63","129","108","132","142","79","96","44","213","45","156","190","127","123","98","89","211","27","95","35","178","148","201","56","26","140","175","128","201","156","153","135","211","53","108","69","116","88","85","140","148","70","115","162","87","162","108","213","167","151","162","35","62","186","199","150","143","141","120","20","166","101","67","55","71","156","74","109","122","20","57","33","31","93","144","127","55","115","175","46","33","79","44","144","154","53","71","201","36","82","31","33","146","168","87","103","100","190","168"
"MaxRadius","220"
"MaxIdx","390"
"Validation Code","140363"
"Date","12_6_2019"
"Total ExperimentTime","0.53885"
"Final Size","143"
"Trial Num","4"
"Strategy",""
"Problems","No"
"Comment",""
"Device","Desktop or Laptop"
"Similar","No"

